OBJECTID,StaType,StnType,ZipCode,State,City,Address2,Address1,Name,Code,StationName,StationFacilityName,StationAliases,DateModif,lon,lat,x,y
18,Platform with Shelter,TRAIN,24910,WV,Alderson, ,1 C&O Plaza on Railroad Avenue, ,ALD,"Alderson, WV", , ,2017-11-12T04:04:31,-80.644856,37.724277,-80.6448559998484,37.724277000221
19,Station Building (with waiting room),TRAIN,49224,MI,Albion, ,300 North Eaton Street, ,ALI,"Albion, MI", , ,2017-11-12T04:04:31,-84.755814,42.247196,-84.7558139995562,42.2471960002192
20,Curbside Bus Stop only (no shelter),BUS,49707,MI,Alpena, ,1180 Michigan Highway 32 West, ,ALM,"Alpena, MI", , ,2018-09-27T04:04:48,-83.476459,45.062202,-83.4764589999499,45.0622020000182
21,Station Building (with waiting room),TRAIN,62002,IL,Alton, ,1 Golf Road, ,ALN,"Alton, IL", , ,2018-09-28T04:04:46,-90.157298,38.921007,-90.1572980003825,38.9210069997477
22,Station Building (with waiting room),TRAIN,79830,TX,Alpine, ,102 West Holland Avenue, ,ALP,"Alpine, TX", , ,2021-01-22T04:04:26,-103.661513,30.357302,-103.661512999818,30.357302000043
23,Station Building (with waiting room),TRAIN,16601,PA,Altoona, ,1231 11th Avenue, ,ALT,"Altoona, PA", , ,2017-11-12T04:04:33,-78.40162,40.514475,-78.4016200002899,40.5144749999404
24,Station Building (with waiting room),TRAIN,22301,VA,Alexandria, ,110 Callahan Drive, ,ALX,"Alexandria, VA", , ,2017-11-06T07:04:23,-77.06233,38.806503,-77.0623299996118,38.8065030003071
25,Station Building (with waiting room),TRAIN,97321,OR,Albany, ,110 10th Avenue SW, ,ALY,"Albany, OR", , ,2017-11-12T04:04:33,-123.102774,44.630464,-123.102773999825,44.6304639998386
26,Station Building (with waiting room),TRAIN,12010,NY,Amsterdam, ,466 West Main Street, ,AMS,"Amsterdam, NY", , ,2018-09-14T04:04:44,-74.2195,42.953719,-74.2194999997182,42.953718999821
27,Station Building (with waiting room),TRAIN,92806,CA,Anaheim, ,2626 East Katella Avenue, ,ANA,"Anaheim, CA", , ,2018-09-22T04:04:46,-117.877308,33.803803,-117.877307999624,33.8038030002316
28,Curbside Bus Stop only (no shelter),BUS,81210,CO,Almont, ,10366-10486 CO-135, ,ANT,"Almont, CO", , ,2022-09-13T07:04:28,-106.845967,38.665671,-106.845967000405,38.6656709998743
29,Station Building (with waiting room),BUS,54911,WI,Appleton, ,100 East Washington Street, ,APP,"Appleton, WI", , ,2018-09-28T04:04:46,-88.405852,44.263311,-88.4058520001302,44.2633109997632
30,Station Building (with waiting room),TRAIN,48104,MI,Ann Arbor, ,325 Depot Street, ,ARB,"Ann Arbor, MI", , ,2017-11-12T04:04:35,-83.743154,42.287692,-83.7431539999758,42.287691999915
31,Curbside Bus Stop only (no shelter),BUS,95521,CA,Arcata, ,925 E Street,Transit Center,ARC,"Arcata, CA",Transit Center,"Humboldt State University,McKinleyville",2021-08-13T02:03:59,-124.083805,40.868633,-124.083805000073,40.8686329997932
32,Station Building (with waiting room),TRAIN,19003,PA,Ardmore, ,39 Station Avenue, ,ARD,"Ardmore, PA", , ,2017-11-12T04:04:35,-75.290399,40.008278,-75.2903989999785,40.0082779997903
33,Station Building (with waiting room),TRAIN,71923,AR,Arkadelphia, ,798 South 5th Street, ,ARK,"Arkadelphia, AR", , ,2017-11-12T04:04:35,-93.053284,34.113919,-93.0532839998035,34.1139189999375
34,Platform with Shelter,TRAIN,95603,CA,Auburn, ,277 Nevada Street, ,ARN,"Auburn, CA", , ,2018-09-14T04:04:44,-121.083187,38.903638,-121.083187000299,38.9036379999543
35,Curbside Bus Stop only (no shelter),BUS,97103,OR,Astoria, ,900 Marine Drive, ,ART,"Astoria, OR", , ,2018-09-27T07:04:39,-123.83329,46.19021,-123.833290000397,46.1902099997995
36,Platform with Shelter,TRAIN,23005,VA,Ashland, ,112 North Railroad Avenue, ,ASD,"Ashland, VA", , ,2017-11-12T04:04:36,-77.481304,37.759596,-77.4813040001902,37.7595959997539
37,Station Building (with waiting room),TRAIN,L7T 4A8,ON,Aldershot, ,1199 Waterdown Road, ,AST,"Aldershot, ON", , ,2017-11-06T07:04:25,-79.855712,43.313413,-79.8557120002308,43.3134130000199
38,Curbside Bus Stop only (no shelter),BUS,93422,CA,Atascadero, ,6000 Capistrano Avenue, ,ATA,"Atascadero, CA", , ,2018-09-21T04:04:44,-120.66476,35.488953,-120.664760000067,35.4889529997471
39,Station Building (with waiting room),TRAIN,30309,GA,Atlanta, ,"1688 Peachtree Street, NW", ,ATL,"Atlanta, GA", ,Peachtree,2018-09-29T07:04:39,-84.392477,33.799445,-84.3924769997929,33.799445000328
40,Station Building (with waiting room),TRAIN,36201,AL,Anniston, ,126 West 4th Street, ,ATN,"Anniston, AL", , ,2017-11-12T04:04:37,-85.832145,33.649112,-85.8321450000501,33.6491120001369
41,Platform with Shelter,TRAIN,08004,NJ,Atco, ,Cooper Road and Raritan Avenue, ,ATO,"Atco, NJ", , ,2018-09-27T04:04:49,-74.907893,39.783504,-74.9078930003861,39.7835040001404
42,Station Building (with waiting room),BUS,04210,ME,Auburn, ,1707 S. Washington Street, ,AUR,"Auburn, ME", ,Lewiston,2020-11-18T04:04:16,-70.266407,44.037697,-70.266406999884,44.0376970003
43,Station Building (with waiting room),TRAIN,78703,TX,Austin, ,250 North Lamar Boulevard, ,AUS,"Austin, TX", , ,2017-11-06T07:04:26,-97.75694,30.269449,-97.7569399999228,30.2694490003796
44,Station Building (with waiting room),BUS,18101,PA,Allentown, ,110 N 6th Street, ,AWN,"Allentown, PA", ,Lehigh University,2023-02-01T02:06:32,-75.471521,40.60405,-75.4715209998756,40.6040499999145
45,Station Building (with waiting room),BUS,97814,OR,Baker City, ,515 Campbell Street, ,BAK,"Baker City, OR", , ,2018-09-27T04:04:49,-117.813137,44.781551,-117.813137000016,44.7815509998536
46,Station Building (with waiting room),TRAIN,21201,MD,Baltimore, ,1500 North Charles Street,Penn Station,BAL,"Baltimore, MD",Penn Station,Penn Station,2018-09-14T07:04:40,-76.615688,39.307302,-76.6156879996737,39.3073020001803
47,Station Building (with waiting room),TRAIN,49013,MI,Bangor, ,541 Railroad Street, ,BAM,"Bangor, MI", , ,2017-11-12T04:04:40,-86.111646,42.314519,-86.1116460000841,42.3145190003087
48,Station Building (with waiting room),BUS,04401,ME,Bangor, ,1039 Union Street, ,BAN,"Bangor, ME", , ,2018-09-26T04:04:47,-68.808747,44.816614,-68.8087470003307,44.8166139997573
49,Platform with Shelter,TRAIN,92311,CA,Barstow, ,685 North First Avenue,Harvey House Rail Depot,BAR,"Barstow, CA",Harvey House Rail Depot, ,2019-02-14T04:03:14,-117.025435,34.90482,-117.025435000347,34.9048200003163
50,Station Building (with waiting room),TRAIN,91502,CA,Burbank, ,201 North Front Street,Downtown,BBK,"Burbank, CA",Downtown, ,2024-08-18T02:00:00,-118.2999,34.171299,-118.299900000043,34.1712990001569
51,Curbside Bus Stop only (no shelter),BUS,92311,CA,Barstow, ,1611 East Main St,McDonald's restaurant,BBS,"Barstow, CA",McDonald's restaurant, ,2021-12-01T02:04:10,-116.998434,34.891277,-116.998434000086,34.8912770002618
52,Station Building (with waiting room),TRAIN,02116,MA,Boston, ,145 Dartmouth Street,Back Bay Station,BBY,"Boston, MA",Back Bay Station,"Boston,Back Bay,westwood",2018-12-13T07:03:24,-71.075828,42.347317,-71.0758280002668,42.3473170002121
53,Curbside Bus Stop only (no shelter),BUS,97720,OR,Buchanan, ,42456 U.S. Highway 20, ,BCH,"Buchanan, OR", , ,2018-06-15T07:04:17,-118.628407,43.642314,-118.628407000384,43.6423140001178
54,Platform with Shelter,TRAIN,22015,VA,Burke, ,10399 Premier Court, ,BCV,"Burke Centre, VA", , ,2018-09-14T07:04:41,-77.29879,38.797271,-77.2987899996749,38.7972709999599
55,Station Building (with waiting room),BUS,48708,MI,Bay City, ,1124 Washington Avenue, ,BCY,"Bay City, MI", , ,2018-09-27T04:04:50,-83.886922,43.601847,-83.8869220004037,43.6018470000167
56,Curbside Bus Stop only (no shelter),BUS,05733,VT,Brandon, ,20 Park Street, ,BDN,"Brandon, VT", , ,2021-06-25T07:04:13,-73.08709,43.798342,-73.08709000034,43.7983420003239
57,Curbside Bus Stop only (no shelter),BUS,34212,FL,Bradenton, ,8100 FL-64, ,BDT,"Bradenton-Ellenton, FL", ,Ellenton,2023-01-03T12:18:52,-82.457451,27.48585,-82.4574509997188,27.4858500002324
58,Curbside Bus Stop only (no shelter),BUS,54107,WI,Bonduel, ,102 Express Way, ,BDU,"Bonduel, WI", , ,2022-03-10T07:04:01,-88.446964,44.729865,-88.4469640000809,44.7298649999342
59,Station Building (with waiting room),TRAIN,98225,WA,Bellingham, ,401 Harris Avenue, ,BEL,"Bellingham, WA", , ,2017-11-12T04:04:42,-122.511255,48.720263,-122.511254999597,48.7202629998968
60,Platform with Shelter,TRAIN,85602,AZ,Benson, ,105 East 4th Street, ,BEN,"Benson, AZ", , ,2017-11-12T04:04:43,-110.296904,31.968758,-110.296904000408,31.9687580003128
61,Platform with Shelter,TRAIN,06037,CT,Berlin, ,51 Depot Road, ,BER,"Berlin, CT", , ,2018-06-15T07:04:17,-72.765274,41.635595,-72.765273999883,41.635595000112
62,Curbside Bus Stop only (no shelter),BUS,61080,IL,South Beloit, ,15766 Manchester Road, ,BET,"South Beloit, IL", , ,2018-09-26T04:04:48,-88.989116,42.490067,-88.9891160003274,42.4900670000468
63,Station Building (with waiting room),TRAIN,93301,CA,Bakersfield, ,601 Truxtun Avenue, ,BFD,"Bakersfield, CA", , ,2018-09-14T04:04:45,-119.00821,35.37214,-119.00820999983,35.3721399998409
64,Curbside Bus Stop only (no shelter),BUS,04915,ME,Belfast, ,22 Belmont Avenue, ,BFT,"Belfast, ME", , ,2018-09-26T04:04:48,-69.025984,44.422692,-69.0259840001379,44.4226919998458
65,Curbside Bus Stop only (no shelter),BUS,82834,WY,Buffalo, ,75 North Bypass Road, ,BFW,"Buffalo, WY", , ,2024-06-06T02:00:00,-106.69015,44.35507,-106.690150000377,44.3550700001811
66,Station Building (with waiting room),TRAIN,14203,NY,Buffalo, ,75 Exchange Street,Exchange Street Station,BFX,"Buffalo, NY",Exchange Street Station,Exchange,2019-02-14T07:03:18,-78.873748,42.878449,-78.8737479998475,42.8784489998228
67,Curbside Bus Stop only (no shelter),BUS,49307,MI,Big Rapids, ,14219 Northland Drive, ,BGP,"Big Rapids, MI", , ,2018-09-27T04:04:50,-85.483612,43.673347,-85.4836119999122,43.6733469998678
68,Station Building (with waiting room),TRAIN,35203,AL,Birmingham, ,1801 Morris Avenue, ,BHM,"Birmingham, AL", , ,2018-09-15T04:04:45,-86.807023,33.512937,-86.8070229996408,33.5129369997435
69,Curbside Bus Stop only (no shelter),BUS,97712,OR,Brothers, ,34100 U.S. Highway 20, ,BHS,"Brothers, OR", , ,2018-06-15T07:04:17,-120.603551,43.814035,-120.603551000174,43.814034999892
70,Curbside Bus Stop only (no shelter),BUS,03570,NH,Berlin, ,318 Glen Avenue, ,BIN,"Berlin, NH", , ,2018-09-27T04:04:51,-71.18743,44.45904,-71.1874300001634,44.4590399999647
71,Curbside Bus Stop only (no shelter),BUS,15715,PA,Big Run, ,401 East Main Street, ,BIR,"Big Run, PA", , ,2018-07-20T07:04:38,-78.870218,40.968716,-78.8702179998699,40.9687160000346
72,Station Building (with waiting room),BUS,97415,OR,Brookings, ,Highway 101 & 5th Street, ,BKO,"Brookings, OR", , ,2018-09-27T04:04:51,-124.288311,42.054793,-124.288311000215,42.0547929998353
73,Curbside Bus Stop only (no shelter),BUS,97106,OR,Banks, ,118 Sunset Avenue, ,BKS,"Banks, OR", , ,2020-07-08T14:48:43,-123.114035,45.617864,-123.114034999953,45.61786400006
74,Platform with Shelter,TRAIN,94710,CA,Berkeley, ,700 University Avenue, ,BKY,"Berkeley, CA", , ,2018-09-14T04:04:45,-122.300707,37.867254,-122.300707000024,37.8672539998717
75,Station Building (with waiting room),TRAIN,05101,VT,Bellows Falls, ,54 Depot Street, ,BLF,"Bellows Falls, VT", , ,2017-11-12T04:04:46,-72.444597,43.13654,-72.4445970003242,43.1365400001462
76,Curbside Bus Stop only (no shelter),BUS,24061,VA,Blacksburg, ,250 Perry St,Virginia Tech,BLK,"Blacksburg, VA",Virginia Tech,Virginia Tech,2024-09-02T07:00:00,-80.424583,37.232013,-80.4245829998081,37.2320129998075
77,Curbside Bus Stop only (no shelter),BUS,15717,PA,Blairsville, ,1601 Old William Penn Highway, ,BLS,"Blairsville, PA", , ,2018-07-19T07:04:40,-79.219778,40.444688,-79.2197779998547,40.4446880002306
78,Station Building (with waiting room),BUS,05446,VT,Burlington, ,125 Pearl Street,Downtown Transit Center,BLT,"Burlington, VT",Downtown Transit Center, ,2021-10-21T07:04:21,-73.214168,44.480327,-73.2141679998816,44.4803269998944
79,Platform with Shelter,TRAIN,77704,TX,Beaumont, ,2555 West Cedar Street, ,BMT,"Beaumont, TX", , ,2017-11-12T04:04:47,-94.127367,30.076458,-94.127367000435,30.0764579999463
80,Station Building (with waiting room),TRAIN,27217,NC,Burlington, ,101 North Main Street, ,BNC,"Burlington, NC", , ,2017-11-12T04:04:47,-79.434531,36.094225,-79.4345309997979,36.0942249996495
81,Station Building (with waiting room),BUS,97701,OR,Bend, ,334 Hawthorne Avenue, ,BND,"Bend, OR", , ,2024-05-29T02:06:52,-121.301266,44.05822,-121.301266000005,44.058220000002
82,Station Building (with waiting room),TRAIN,06405,CT,Branford, ,39 Maple Street, ,BNF,"Branford, CT", , ,2024-08-18T02:00:03,-72.81635,41.274677,-72.8163499997773,41.2746769998737
83,Platform with Shelter,TRAIN,98605,WA,Bingen, ,Highway 14 and Walnut Street, ,BNG,"Bingen-White Salmon, WA", ,"White Salmon,Hood River,Dalles,The Dalles",2017-11-06T07:04:31,-121.46873,45.71502,-121.468729999949,45.7150200001772
84,Curbside Bus Stop only (no shelter),BUS,05201,VT,Bennington, ,215 Pleasant Street,Green Mountain Express Bus Term,BNI,"Bennington, VT",Green Mountain Express Bus Term, ,2019-03-18T07:03:26,-73.19324,42.878777,-73.1932399999114,42.8787769997076
85,Station Building (with waiting room),TRAIN,61761,IL,Normal, ,11 Uptown Circle, ,BNL,"Bloomington-Normal, IL", , ,2018-09-29T07:04:39,-88.984306,40.50901,-88.9843059998847,40.5090100002628
86,Curbside Bus Stop only (no shelter),BUS,97720,OR,Burns, ,230 Hines Boulevard, ,BNS,"Burns, OR", , ,2018-06-14T04:04:22,-119.064431,43.583713,-119.064430999902,43.5837129997919
87,Station Building (with waiting room),BUS,83705,ID,Boise, ,3201 Airport Way, ,BOI,"Boise, ID", , ,2024-07-20T02:00:02,-116.222172,43.569556,-116.222171999746,43.569556000298
88,Station Building (with waiting room),TRAIN,02114,MA,Boston, ,135 Causeway Street,North Station,BON,"Boston, MA",North Station,North Station,2018-12-13T07:03:25,-71.061122,42.366235,-71.0611219996524,42.3662349998855
89,Station Building (with waiting room),TRAIN,02110,MA,Boston, ,2 South Station,South Station,BOS,"Boston, MA",South Station,South Station,2020-10-27T07:03:54,-71.055304,42.352311,-71.0553039996294,42.3523110001276
90,Station Building (with waiting room),TRAIN,05301,VT,Brattleboro, ,10 Vernon Road, ,BRA,"Brattleboro, VT", , ,2017-11-06T07:04:32,-72.556497,42.850849,-72.5564970001466,42.8508490003244
91,Curbside Bus Stop only (no shelter),BUS,53913,WI,Baraboo, ,Commerce Parkway & Gateway Drive, ,BRB,"Baraboo, WI", , ,2022-03-16T07:04:11,-89.773676,43.459349,-89.7736760003564,43.4593490002563
92,Station Building (with waiting room),TRAIN,39601,MS,Brookhaven, ,440 North Railroad Avenue, ,BRH,"Brookhaven, MS", , ,2018-09-14T04:04:46,-90.44107,31.582961,-90.4410700000107,31.5829610001117
93,Platform only (no shelter),BUS,02809,RI,Bristol, ,147 Thames Street, ,BRI,"Bristol, RI", , ,2019-08-01T07:03:16,-71.277462,41.668627,-71.2774620002074,41.6686269997525
94,Station Building (with waiting room),TRAIN,04011,ME,Brunswick, ,16 Station Avenue, ,BRK,"Brunswick, ME", , ,2018-06-14T07:04:19,-69.965541,43.911388,-69.9655410000368,43.9113880002432
95,Station Building (with waiting room),TRAIN,52601,IA,Burlington, ,300 South Main Street, ,BRL,"Burlington, IA", , ,2017-11-12T04:04:50,-91.101951,40.805788,-91.1019510000561,40.8057879997679
96,Platform with Shelter,TRAIN,59417,MT,Browning, ,Heart Butte Road and Depot Road, ,BRO,"Browning, MT", ,"glacier,east glacier",2017-11-06T07:04:32,-113.013151,48.534067,-113.013151000329,48.5340670002151
97,Station Building (with waiting room),TRAIN,06604,CT,Bridgeport, ,525 Water Street, ,BRP,"Bridgeport, CT", , ,2018-09-14T04:04:46,-73.187539,41.178006,-73.1875390000642,41.1780059997923
98,Station Building (with waiting room),BUS,77802,TX,Bryan, ,3370 Texas Avenue, ,BRY,"Bryan, TX", , ,2021-04-20T04:04:21,-96.210055,30.382219,-96.2100550000643,30.3822190002925
99,Station Building (with waiting room),TRAIN,49017,MI,Battle Creek, ,119 McCamly Street South, ,BTL,"Battle Creek, MI", , ,2017-11-12T04:04:51,-85.187825,42.318453,-85.1878250001213,42.3184530000466
100,Station Building (with waiting room),TRAIN,05401,VT,Burlington, ,1 Main Street,Union Station,BTN,"Burlington, VT",Union Station, ,2022-11-21T10:50:00,-73.21927,44.4757,-73.2192700004023,44.4756999998864
101,Station Building (with waiting room),BUS,70802,LA,Baton Rouge, ,1253 Florida Boulevard, ,BTR,"Baton Rouge, LA", , ,2018-09-26T04:04:49,-91.176374,30.449741,-91.1763740003857,30.4497410002174
102,Station Building (with waiting room),BUS,05403,VT,South Burlington, ,1200 Airport Drive,Burlington International Airport,BTV,"South Burlington, VT",Burlington International Airport,Burlington,2022-05-14T07:04:10,-73.15546,44.469865,-73.1554599995716,44.469865000046
103,Station Building (with waiting room),TRAIN,14043,NY,Depew, ,55 Dick Road,Depew Station,BUF,"Buffalo, NY",Depew Station,Depew,2019-02-14T04:03:16,-78.726584,42.907017,-78.7265840002347,42.90701700027
104,Curbside Bus Stop only (no shelter),BUS,93427,CA,Buellton, ,237 East Highway 246, ,BUL,"Buellton, CA", , ,2018-09-21T04:04:44,-120.186595,34.61066,-120.186595000203,34.6106599998066
105,Platform with Shelter,TRAIN,91505,CA,Burbank, ,3750 Empire Avenue,Hollywood Burbank Airport,BUR,"Burbank, CA",Hollywood Burbank Airport,Hollywood,2018-09-15T07:04:40,-118.353767,34.193072,-118.353766999948,34.1930719996931
106,Curbside Bus Stop only (no shelter),BUS,81211,CO,Buena Vista, ,117 N Railroad St., ,BUV,"Buena Vista, CO", , ,2021-11-24T02:03:55,-106.131059,38.842897,-106.131058999723,38.8428969997334
107,Platform only (no shelter),BUS,97731,OR,Beaver Marsh, ,100350 Highway 97, ,BVM,"Beaver Marsh, OR", , ,2021-06-29T07:04:16,-121.803189,43.134572,-121.803189000208,43.1345719997999
108,Curbside Bus Stop only (no shelter),BUS,97225,OR,Beaverton, ,10470 Southwest Barnes Road, ,BVT,"Beaverton, OR", , ,2018-09-27T04:04:52,-122.78217,45.510223,-122.782170000062,45.5102230002364
109,Station Building (with waiting room),TRAIN,21240,MD,Baltimore, ,7 Amtrak Way, ,BWI,"BWI Marshall Airport, MD", ,"Baltimore,bwi airport",2018-05-26T07:04:17,-76.6943,39.192362,-76.6942999995817,39.1923619998656
110,Station Building (with waiting room),TRAIN,43506,OH,Bryan, ,Paige and Lynn Street, ,BYN,"Bryan, OH", , ,2017-11-12T04:04:54,-84.551799,41.480319,-84.5517989996836,41.480318999739
111,Station Building (with waiting room),TRAIN,29020,SC,Camden, ,1060 West Dekalb Street, ,CAM,"Camden, SC", , ,2017-11-12T04:04:54,-80.62519,34.248157,-80.6251899999018,34.2481569998774
112,Station Building (with waiting room),BUS,82601,WY,Casper, ,601 North Center Street, ,CAS,"Casper, WY", , ,2018-09-28T04:04:47,-106.324772,42.856427,-106.324772000441,42.8564269998922
113,Curbside Bus Stop only (no shelter),BUS,03818,NH,Conway, ,13 West Main Street, ,CAY,"Conway, NH", , ,2018-09-27T04:04:53,-71.126573,43.978298,-71.1265729997251,43.9782979998216
114,Curbside Bus Stop only (no shelter),BUS,81224,CO,Crested Butte, ,306 6th Street, ,CBC,"Crested Butte, CO", , ,2022-09-02T07:04:42,-106.980905,38.870357,-106.980904999968,38.8703569996859
115,Curbside Bus Stop only (no shelter),BUS,97110,OR,Cannon Beach, ,1170 South Hemlock Street, ,CBO,"Cannon Beach, OR", , ,2018-09-27T04:04:53,-123.961842,45.889496,-123.961841999675,45.8894960003036
116,Platform with Shelter,TRAIN,76031,TX,Cleburne, ,206 North Border Street, ,CBR,"Cleburne, TX", , ,2019-04-26T04:03:17,-97.382333,32.349743,-97.3823329998113,32.3497429996706
117,Station Building (with waiting room),TRAIN,53925,WI,Columbus, ,359 North Ludington Street, ,CBS,"Columbus, WI", , ,2017-11-12T04:04:55,-89.012609,43.340611,-89.0126090003525,43.3406110002378
118,Curbside Bus Stop only (no shelter),BUS,97420,OR,Coos Bay, ,525 Anderson Avenue, ,CBY,"Coos Bay, OR", , ,2023-09-20T02:06:42,-124.217366,43.367107,-124.217365999985,43.3671069997335
119,Curbside Bus Stop only (no shelter),BUS,92230,CA,Cabazon, ,49500 Seminole Drive, ,CBZ,"Cabazon, CA", , ,2019-01-12T04:03:19,-116.798713,33.921492,-116.798713000272,33.9214919997935
120,Curbside Bus Stop only (no shelter),BUS,21613,MD,Cambridge, ,100 Heron Boulevard, ,CDE,"Cambridge, MD", , ,2018-09-27T04:04:54,-76.048392,38.561752,-76.0483920001144,38.5617519999133
121,Station Building (with waiting room),TRAIN,62901,IL,Carbondale, ,401 South Illinois Avenue, ,CDL,"Carbondale, IL", , ,2017-11-12T04:04:56,-89.216628,37.724235,-89.216628000423,37.7242349997531
122,Curbside Bus Stop only (no shelter),BUS,04856,ME,Rockport, ,20 Commercial Street, ,CDN,"Camden-Rockport, ME", , ,2018-09-26T04:04:49,-69.078634,44.199095,-69.0786340002253,44.19909500018
123,Curbside Bus Stop only (no shelter),BUS,49319,MI,Cedar Springs, ,4010 17 Mile Road, ,CDS,"Cedar Springs, MI", , ,2022-08-15T07:04:38,-85.570486,43.219603,-85.5704860004227,43.2196030002504
124,Station Building (with waiting room),TRAIN,62801,IL,Centralia, ,110 South Oak St., ,CEN,"Centralia, IL", , ,2018-09-28T04:04:47,-89.136118,38.527531,-89.1361179995585,38.5275310002424
125,Station Building (with waiting room),BUS,16830,PA,Clearfield, ,314 East Cherry Street, ,CFD,"Clearfield, PA", , ,2018-07-20T07:04:38,-78.43533,41.021095,-78.4353299999787,41.0210949997976
126,Curbside Bus Stop only (no shelter),BUS,99111,WA,Colfax, ,610 South Main St., ,CFX,"Colfax, WA", , ,2018-09-27T04:04:54,-117.365156,46.875679,-117.365156000062,46.8756789997617
127,Curbside Bus Stop only (no shelter),BUS,93614,CA,Coarsegold, ,35305 Highway 41, ,CGD,"Coarsegold, CA", , ,2018-02-18T04:04:48,-119.699676,37.261897,-119.699675999642,37.261897000058
128,Curbside Bus Stop only (no shelter),BUS,49721,MI,Cheboygan, ,403 North Huron Street, ,CHB,"Cheboygan, MI", , ,2018-09-27T04:04:54,-84.476287,45.646723,-84.4762869995829,45.6467230002514
129,Station Building (with waiting room),BUS,82007,WY,Cheyenne, ,3306 W College Drive, ,CHD,"Cheyenne, WY", , ,2020-04-28T04:10:31,-104.84869,41.10117,-104.848689999625,41.1011700000998
130,Station Building (with waiting room),TRAIN,60606,IL,Chicago, ,255 South Clinton Street,Union Station,CHI,"Chicago, IL",Union Station,Union Station,2023-07-30T07:00:00,-87.641015,41.878992,-87.6410149999492,41.8789919998439
131,Station Building (with waiting room),BUS,49720,MI,Charlevoix, ,103 Bridge Park Drive, ,CHL,"Charlevoix, MI", , ,2018-09-27T04:04:54,-85.257941,45.318448,-85.2579409999734,45.318447999942
